"fare","passenger_count"
"0","15"
"4.0125","1"
"5","1"
"6.2375","1"
"6.4375","1"
"6.45","1"
"6.4958","2"
"6.75","2"
"6.8583","1"
"6.95","1"
"6.975","2"
"7.0458","1"
"7.05","7"
"7.0542","2"
"7.125","4"
"7.1417","1"
"7.225","12"
"7.2292","15"
"7.25","13"
"7.3125","1"
"7.4958","3"
"7.5208","1"
"7.55","4"
"7.6292","1"
"7.65","4"
"7.725","1"
"7.7292","1"
"7.7333","4"
"7.7375","2"
"7.7417","1"
"7.75","34"
"7.775","16"
"7.7875","1"
"7.7958","6"
"7.8","1"
"7.8292","2"
"7.8542","13"
"7.875","1"
"7.8792","4"
"7.8875","1"
"7.8958","38"
"7.925","18"
"8.0292","1"
"8.05","43"
"8.1125","1"
"8.1375","1"
"8.1583","1"
"8.3","1"
"8.3625","1"
"8.4042","1"
"8.4333","1"
"8.4583","1"
"8.5167","1"
"8.6542","1"
"8.6625","13"
"8.6833","1"
"8.7125","1"
"8.85","1"
"9","2"
"9.2167","1"
"9.225","2"
"9.35","2"
"9.475","1"
"9.4833","1"
"9.5","9"
"9.5875","2"
"9.825","2"
"9.8375","1"
"9.8417","1"
"9.8458","1"
"10.1708","1"
"10.4625","2"
"10.5","24"
"10.5167","1"
"11.1333","3"
"11.2417","2"
"11.5","4"
"12","1"
"12.275","1"
"12.2875","1"
"12.35","3"
"12.475","4"
"12.525","1"
"12.65","1"
"12.875","1"
"13","42"
"13.4167","1"
"13.5","4"
"13.7917","1"
"13.8583","1"
"13.8625","1"
"14","1"
"14.1083","1"
"14.4","2"
"14.4542","7"
"14.4583","3"
"14.5","7"
"15","1"
"15.0458","1"
"15.05","1"
"15.1","1"
"15.2458","5"
"15.5","8"
"15.55","1"
"15.7417","2"
"15.75","1"
"15.85","4"
"15.9","2"
"16","1"
"16.1","9"
"16.7","2"
"17.4","1"
"17.8","2"
"18","3"
"18.75","3"
"18.7875","2"
"19.2583","4"
"19.5","2"
"19.9667","2"
"20.2125","2"
"20.25","2"
"20.525","3"
"20.575","2"
"21","6"
"21.075","4"
"21.6792","1"
"22.025","1"
"22.3583","2"
"22.525","1"
"23","4"
"23.25","2"
"23.45","2"
"24","2"
"24.15","8"
"25.4667","4"
"25.5875","1"
"25.925","1"
"25.9292","2"
"26","31"
"26.25","6"
"26.2833","1"
"26.2875","3"
"26.3875","1"
"26.55","15"
"27","2"
"27.7208","5"
"27.75","4"
"27.9","6"
"28.5","1"
"28.7125","1"
"29","2"
"29.125","5"
"29.7","3"
"30","6"
"30.0708","2"
"30.5","5"
"30.6958","2"
"31","3"
"31.275","7"
"31.3875","4"
"32.3208","1"
"32.5","1"
"33","3"
"33.5","1"
"34.0208","1"
"34.375","4"
"34.6542","1"
"35","1"
"35.5","4"
"36.75","2"
"37.0042","2"
"38.5","1"
"39","4"
"39.4","1"
"39.6","2"
"39.6875","6"
"40.125","1"
"41.5792","3"
"42.4","1"
"46.9","6"
"47.1","1"
"49.5","1"
"49.5042","2"
"50","1"
"50.4958","1"
"51.4792","1"
"51.8625","2"
"52","7"
"52.5542","3"
"53.1","5"
"55","2"
"55.4417","1"
"55.9","2"
"56.4958","7"
"56.9292","2"
"57","2"
"57.9792","2"
"59.4","1"
"61.175","1"
"61.3792","1"
"61.9792","1"
"63.3583","1"
"65","2"
"66.6","2"
"69.3","2"
"69.55","7"
"71","2"
"71.2833","1"
"73.5","5"
"75.25","1"
"76.2917","1"
"76.7292","3"
"77.2875","2"
"77.9583","3"
"78.2667","2"
"78.85","2"
"79.2","4"
"79.65","3"
"80","2"
"81.8583","1"
"82.1708","2"
"83.1583","3"
"83.475","2"
"86.5","3"
"89.1042","2"
"90","4"
"91.0792","2"
"93.5","2"
"106.425","2"
"108.9","2"
"110.8833","4"
"113.275","3"
"120","4"
"133.65","2"
"134.5","2"
"135.6333","3"
"146.5208","2"
"151.55","4"
"153.4625","3"
"164.8667","2"
"211.3375","3"
"211.5","1"
"221.7792","1"
"227.525","4"
"247.5208","2"
"262.375","2"
"263","4"
"512.3292","3"
